,POP10,HH10,POP20,HU20,HHPOP20,food_insecurity,edu_hsd,edu_gebach,edu_bach,no_internet,dial-up,broadband,lt75000,ge75000,le1.5_rm,gt1.5_rm,30-50pct_rb,gt50pct_rb,HHOCH18,cr_Less than $100,cr_$100 to $149,cr_$150 to $199,cr_$200 to $249,cr_$250 to $299,cr_$300 to $349,cr_$350 to $399,cr_$400 to $449,cr_$450 to $499,cr_$500 to $549,cr_$550 to $599,cr_$600 to $649,cr_$650 to $699,cr_$700 to $749,cr_$750 to $799,cr_$800 to $899,cr_$900 to $999,"cr_$1,000 to $1,249","cr_$1,250 to $1,499","cr_$1,500 to $1,999","cr_$2,000 to $2,499","cr_$2,500 to $2,999","cr_$3,000 to $3,499","cr_$3,500 or more","hv_Less than $10,000","hv_$10,000 to $14,999","hv_$15,000 to $19,999","hv_$20,000 to $24,999","hv_$25,000 to $29,999","hv_$30,000 to $34,999","hv_$35,000 to $39,999","hv_$40,000 to $49,999","hv_$50,000 to $59,999","hv_$60,000 to $69,999","hv_$70,000 to $79,999","hv_$80,000 to $89,999","hv_$90,000 to $99,999","hv_$100,000 to $124,999","hv_$125,000 to $149,999","hv_$150,000 to $174,999","hv_$175,000 to $199,999","hv_$200,000 to $249,999","hv_$250,000 to $299,999","hv_$300,000 to $399,999","hv_$400,000 to $499,999","hv_$500,000 to $749,999","hv_$750,000 to $999,999","hv_$1,000,000 to $1,499,999","hv_$1,500,000 to $1,999,999","hv_$2,000,000 or more",tot_hhds,fam_hhd,fb_Europe,fb_Asia,fb_Africa,fb_Oceania,fb_LatinAmerica,fb_NorthernAmerica,lang_Spanish,lang_Russian,lang_Chinese,lang_Vietnamese,lang_other asian or pi language,lang_other indo-euro language,lang_pop_leahh,total 5-17,total 5-17 in public school,mobility,Pov20,w_disability,Pop25+,"hhinc_Less than $10,000","hhinc_$10,000 to $14,999","hhinc_$15,000 to $19,999","hhinc_$20,000 to $24,999","hhinc_$25,000 to $29,999","hhinc_$30,000 to $34,999","hhinc_$35,000 to $39,999","hhinc_$40,000 to $44,999","hhinc_$45,000 to $49,999","hhinc_$50,000 to $59,999","hhinc_$60,000 to $74,999","hhinc_$75,000 to $99,999","hhinc_$100,000 to $124,999","hhinc_$125,000 to $149,999","hhinc_$150,000 to $199,999","hhinc_$200,000 or more",owner occ hu,tot occ hu acs,LifeExp,SVI
Eastmoreland,5007,1593,5323,1673,4378,350.9356737,118.8028523,2855.445116,1402.063347,87.55855866,0,1813.259531,301.2105986,1621.765347,1922.975946,0,23.07892831,0,1290.629765,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.123823316,29.46887493,28.98913831,0,21.33009709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.82041999,58.73221591,92.0491884,686.9112877,727.5211723,136.713877,0,34.47212165,1922.975946,1636.040207,175.8718643,121.4854493,0.977402168,2.541245637,18.46256294,32.12551722,56.26547073,16.52523904,1.172882602,0,13.94903253,15.59445137,120.6828515,939.3537697,785.9647864,530.9430848,169.4967415,504.5098074,3903.084947,13,19.82041999,7.820419986,0,44.1530554,9.722444318,19.44488864,14,54.58508327,50.89948601,67.764801,187.9628143,272.4942776,179.8986713,184.511263,796.8983211,1756.220283,1922.975946,82.52491468,0.0240157
Eliot,3556,1791,5537,2981,5274,745.5100816,115.4722592,2655.991574,1427.064117,153.2303805,0,2330.927635,1455.062831,1138.230162,2549.998122,43.29487123,484.7008773,308.1527151,558.2273766,75.77307892,38.7595762,42.13826736,52.17389633,25.36412443,6.550544323,0,0,18.22844358,19.66555603,40.62964583,43.45830459,109.0676447,7.813112283,6.661879896,43.9913306,76.82720578,452.40942,358.819646,249.9264911,104.2630015,85.26000654,38.85662376,0,0,0,0,0,0,0,0,0,0,9.013854931,0,0,0,0,0,2.929917106,0,15.13769494,6.661879896,39.97892159,145.7659137,390.9530225,42.75923686,0,0,0,2593.292994,804.7673998,82.74901057,98.52915805,65.92009734,12.19668957,40.09220647,91.9411884,19.67983534,0,25.4560481,6.18556701,3.711340206,9.541066721,111.4118213,333.3771448,298.2590993,606.1836038,996.2818063,783.263956,4217.623915,277.4845722,126.7154741,111.9393014,79.19246999,50.72654868,63.99444182,38.1835866,114.1645217,220.076949,192.0049363,180.5800294,318.6491083,256.1725423,130.127466,225.6088048,207.6722411,653.2004415,2593.292994,78.74827586,0.484026552
Far Southwest,1320,645,1463,652,1463,114.3171435,23.22690752,616.0765041,372.5835019,88.05158346,0,605.1090094,345.2949305,384.8646532,730.1595838,0,61.05345018,142.1838736,239.0770727,0,0,0,0,0,0,0,0,0,0,0,21.72956609,26.92538593,9.487993139,0,5.385077187,11.02658662,53.28689855,79.1597958,75.8593456,49.03430359,0,9.024463741,0,3.523713421,0,0,0,0,0,0,0,0,5.872855701,0,0,0,2.56432247,0,17.6185671,6.460141271,18.75188619,5.872855701,91.17894239,70.3917643,120.0222734,42.28456105,4.698284561,0,0,730.1595838,347.676405,27.75281023,75.36584747,16.74211146,2.642451759,14.93052653,5.140107945,4.241382241,0.581429266,2.642451759,2.642451759,19.39588802,8.977943315,46.7669134,159.6700464,132.7427215,215.1408948,241.5597279,184.0177228,1149.525243,44.18717687,117.0535134,19.05849039,35.70874664,0,15.81545834,12.49884207,19.00831843,7.006174784,38.25690304,36.70130661,86.77834213,84.2221027,37.10658101,67.97712085,108.7805065,389.2401675,730.1595838,79.20379061,0.101204513
Forest Park,3207,1286,3324,1332,3311,142.0830983,19.94801118,2143.26797,1024.367811,14.07772351,0.05371248,1387.376547,386.2842303,1043.210278,1429.494509,0,41.89424405,37.85528068,733.1930151,0,0,0,0,0,0,0,0,0,0,5.255102041,5.870133045,0.245196003,2.806592621,2.102040816,4.204081633,4.875487636,27.43821331,1.688177644,21.91573135,3.809487871,0.0895208,0,38.53576826,0,0,0,0,0,2.62755102,0,0,0,0,0,0,0,0,0,0,18.26993211,6.831632653,23.64459443,84.05278982,45.29003441,266.5574429,462.7888325,199.9834693,75.80516132,102.0922055,1429.494509,1077.091271,111.6477205,391.2383903,62.97837927,11.57175407,1.26250709,51.96831987,0.057912666,0,104.8911752,0,18.5649957,1.444545276,125.1372197,494.3115039,333.0680013,233.1880749,149.1513901,260.259797,2829.340124,60.86454532,18.10866562,10.08316676,21.45864724,36.07658104,89.41676121,8.294448743,12.68629052,22.49771165,67.55070547,39.24670672,106.8427355,99.38542836,45.97242811,137.3189069,653.6907797,1287.943646,1429.494509,80.1,0.021875221
Foster-Powell,7335,3159,7827,3297,7624,1124.619638,570,2732,1730,273,23,2901,1643,1568,3183,28,288,360,1243,0,0,0,0,12,0,0,0,0,0,0,11,13,16,0,85,65,416,294,178,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,17,0,126,250,744,666,145,0,18,0,0,3211,1719,248.3313546,855.3727039,0,4.633456602,282.6252465,3.879320679,182.3009404,29.36333199,160.655737,319.6425055,145.1370459,36,873.0995608,883.684521,801.9648428,388.9478282,1692,1157.681503,6502,103,174,194,134,55,102,107,171,96,189,318,539,464,210,245,110,1983,3211,76.21616385,0.566479463
Glenfair,3417,1302,3663,1437,3624,797.0173697,462.7455214,370.7456848,255.6381759,113.0612151,0,1142.243033,1130.918264,175.5039513,1186.713473,119.7087418,324.0931744,386.4714201,722.5292558,0,0,59.95681818,0,14.62091503,25.58660131,143.2398916,0,0,0,0,14.62091503,71.27696078,12.79330065,50.94763072,106.9453728,101.2116533,287.5615642,74.01838235,42.30904635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.05187908,0,23.42983512,0,56.71590909,64.64784611,86.62756239,59.86013072,0,0,0,0,0,1306.422215,725.0036542,195.2434368,536.1909308,31.47207637,38.46587112,268.0954654,10.49069212,259.9360382,25.64391408,0,150.9494033,396.897852,50.1221957,896.9541766,653.3369928,553.6754177,372.4195704,1026.394318,1027.505012,2226.025349,169.6436126,251.8908868,79.27565359,151.9106729,29.24183007,31.42852793,0,22.68636364,90.01576797,123.2834299,181.5415181,90.66717914,53.30466429,0,13.70710784,17.825,301.3331625,1306.422215,77.2,0.9976
Goose Hollow,6360,4680,7088,5075,6951,1383.797269,108.978779,3882.203032,2185.476573,102.6705289,0,4101.670478,2784.514857,1539.589144,4144.260281,179.8437199,959.3560925,811.0782922,305.281933,0,0,102,0,0,43,0,0,17,0,0,0,19,2.44934334,120,216.8437199,406.7629938,927.7528776,853.2857867,318.3578165,163.1659906,37.24859287,0,2.44934334,0,0,0,0,0,0,0,12,0,0,0,0,0,10,0,27,41.09943715,65.44934334,34.64656965,177.8448101,239.3643831,189.5847827,103.8433903,68.42890827,62.68069571,30.0956848,4324.104001,885.4478982,195.226025,505.5701414,35.84654431,23.47293578,116.3246025,16.18664312,20.69614743,21.21593304,78.04665748,33.79953917,189.3091224,2.391926652,345.4593261,185.6446582,102.9407213,1008.676938,1488.746235,931.7920855,5328.940799,525.2158613,253.3305613,149.9209979,33.76824198,242.0994371,143.3943005,231.2958775,257.1724811,40.13685919,378.6269966,529.5532427,407.0818163,355.2161655,287.1367831,130.3881142,359.7662644,1062.038005,4324.104001,81.8,0.503693154
Grant Park,3937,1534,4139,1573,4139,292.9315367,36,2059.950739,1144.776376,81.80819106,0,1283.848124,320.99694,1044.659375,1365.656315,0,37.28664073,58.51512975,995.4030546,4.762645914,0,0,0,0,0,0,0,0,0,0,0,6.879377432,1.587548638,1.763942931,6.702983139,2.469520104,50.85989909,13.58236057,51.05552008,16.06753094,12,6.111940299,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.858208955,6,30.22157051,75.22213816,588.631776,345.036069,89.84328358,28,11,1365.656315,1039.54319,209.1955391,175.5154319,0,7.036751649,28.35511261,30.52816896,30.56329688,0,5.81885691,0.169484179,33.95289305,56.01392468,126.5184557,669.8775351,498.4185892,180.8171563,117.7069444,283.3999243,2716.629059,33.93933144,0,23.16320475,11.4695201,21.11413748,46.84445804,6.472625525,9.363401867,33.78715131,73.88637556,60.95673387,123.6127508,156.6872499,125.0082201,161.8048225,477.546332,1191.813046,1365.656315,82.09252737,0.039164779
Hayden Island,2270,1539,3054,1805,3006,210,180.1524783,707.4841675,390.8725391,92.09292035,8.464788732,1082.931866,459.9779162,731.2697705,1175.247687,16,39.57815922,18.87633025,190.7563003,0,0,0,0,0,0,0,0,0,0,22.30457227,6.788348083,0,0,0,33.97448259,0,38.35198358,41.88507297,71.92118048,32.93178985,9.325461619,0,0,27.78834808,0,15,21,1.128772636,33,19,23.39839034,31.55086863,44,6,23,8,13.57669617,0,32.18362832,77.73259468,60.60632823,76.20239579,113.0091434,144.0219844,122.1098924,0,8.727876106,0,0,1191.247687,693.5036324,0.743761739,23.61474214,23.66264984,0.584384223,43.88050225,0,36.58044537,0.354172257,0,1.770861283,0,0.265629192,39.27215452,209.0481909,156.2645301,162.9593302,152.0360333,411.4754148,2064.114881,24.09732881,38.61476084,22.87905605,10.66740413,35.3859336,43.03685683,31.03244838,61.66217215,15.75811209,50.20620033,126.637643,198.846805,215.8359404,96.00943715,136.063085,84.51450295,901.0369192,1191.247687,79,0.313176311
Hayhurst,5382,2494,5649,2488,5564,456.1887836,92.35413337,2855.689685,1784.17204,83.64566166,0,2067.227463,781.3345378,1501.816338,2283.150875,0,80.05172499,220.3486692,1228.66184,0,0,18,4.316044595,5.395055744,38,0,30,0,0,0,0,30.21231217,0,7.29245283,35.92155751,15.10615608,169.0227407,76.77923329,157.2457742,19,47,6,30,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.316044595,14.09258362,24.77653902,133.1686818,500.075253,818.2567974,44.00773875,20,8,0,2283.150875,1481.016143,87.12787006,289.8479287,59.80351728,0.298930831,51.05111807,66.03759854,96.1918094,0,31,2.062622736,8.687540912,16.07615099,167.3413459,1030.542392,815.9398719,468.3942505,367.3825802,578.9222965,4184.358512,124.6616578,10.22132945,48.3160446,46.00518759,71.16591007,47.33351831,44.22054802,46.40862821,69.56665051,120.3799204,153.0551429,301.1092062,197.2123122,221.9398842,319.5753913,461.9795437,1574.693638,2283.150875,79.57733383,0.403380172
Hazelwood,23462,9801,26700,10894,25233,3955.856483,2581.165626,5215.187351,3497.572187,1196.723941,44.41764488,8805.866107,7235.604782,3154.827709,10096.3463,294.086187,1380.772198,2212.42533,4759.902036,21,0,10.62780269,57.70340529,66.34131737,32.75017693,35.1740638,86.97342995,94,64.48832074,75.70276315,233.6324567,45.34302823,197.7714986,239.4933057,423.8048578,1005.567057,1614.303001,523.3213539,660.0235587,114.5897818,73.35166538,95.29357088,43.58791634,0,10.67579127,42.29946023,55,53,0,12.75336323,0,0,5.97295423,0,0,0,47.7293157,46.24096386,182.9256035,263.5278995,437.6407411,751.2681848,1814.709844,647.235769,132.3536744,0,8.344202899,0,11.71693596,10390.43249,6043.586728,1131.510196,2729.710341,436.0611835,330.1479331,1687.420687,98.70708957,1133.253889,690.5184157,320.6589552,918.1309015,883.2812135,126.8958891,4344.863877,3387.265691,3073.39676,1845.982706,4951.794989,4530.395035,19390.58153,696.4228346,573.5248445,570.7663901,457.6159125,867.2750776,669.9116808,512.498068,493.3028546,475.3890739,991.5604002,927.3376452,1017.03725,922.5647489,437.1197747,530.9932139,247.1127218,4523.394704,10390.43249,76.00789072,0.873128395
Healy Heights,187,74,183,67,183,19.29028265,0,96.59077599,50.23792094,0,0,62.83089312,10.04758419,52.78330893,62.83089312,0,0,0,44.61127379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.143484627,0,1.875549048,1.60761347,0,0,1.473645681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.009516837,0,10.04758419,31.61639824,8.573938507,3.483162518,0,62.83089312,43.94143485,6.997886241,17.30130669,0.070330515,0,0.632974635,0,1.301114527,0,5.520945427,1.301114527,1.12528824,0.808800922,10.05726364,20.36068409,10.02209839,12.37817064,2.947291362,19.34089162,103.1551977,0,0,0,0,0,1.875549048,5.626647145,0,0,2.545387994,0,6.564421669,4.82284041,4.688872621,5.224743777,31.48243045,55.73060029,62.83089312,81.8,0.3058
Hillsdale,7871,3686,8500,3785,8417,748.7582119,156.3395114,4815.746592,2590.774473,195.6909316,16.91472868,3402.873008,1395.658952,2312.635512,3684.475576,23.81888848,279.6226028,285.5577491,1881.855795,8.48852459,9.05442623,10.22820783,13.08102689,4.604944256,7.922622951,0,13.0157377,0,11.31803279,12.23508459,5.638242894,55.78768783,5.664066309,9.328132618,34.5886526,83.93973681,466.5263927,181.9001012,210.7522079,68.98020525,7.574049507,16.32754797,12.74767171,14.63824289,0,0,0,0,0,0,0,4.514925373,0,0,0,0,10.18622951,1.879414298,4.75492806,8.38249115,42.14776596,17.22623704,146.7069524,312.0191997,1297.284889,480.3057631,59.25693453,12.00367335,13.14296276,3708.294465,2515.736392,205.2667783,248.0406364,53.8810695,2.884345163,79.02326796,98.35446769,84.69375247,13.18534168,11.92911802,2.189853958,15.85877002,19.3995326,168.0580214,1269.492591,964.9124216,764.3693248,699.7904712,674.2834487,6654.596647,192.2090003,58.78643635,66.82543282,113.3337995,70.46319016,122.6903995,83.83189295,65.74851822,197.8681328,166.8693287,257.032821,387.9361128,442.3762113,200.4614351,374.7793477,907.0824055,2424.450609,3708.294465,83.35412999,0.144510596
Hillside,2202,1191,2356,1196,2356,89.68937955,24.16488223,1458.899359,678.2493045,30.84211827,0,955.0086886,234.9619162,752.0430498,981.6669755,5.337990446,15.19111718,23.60977104,344.9691422,0,0,0,0,0,0,0,0,0,0,0.221538462,0.193846154,0.083076923,0.775384615,2.955964421,0.221538462,21.49824741,12.91180899,12.95348378,36.24505683,9.82144622,14.44307692,0.124615385,0.946466809,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,36.75749758,58.87519025,192.33505,221.362087,253.7477666,51.53182322,36,987.004966,635.6238144,78.70637058,152.0661919,10.15429571,0.303727566,31.66927063,26.70480887,8.18312698,0.110446387,29.1900339,0,1.442072104,8.76763605,47.69331542,281.3241452,186.29337,159.3772703,80.8669618,140.4653226,1744.864167,43.76067005,14.77280668,3.061805304,10.11809257,12.2274901,13.70142219,16.11804645,3.57949267,24.66265195,36.37695097,56.58248723,26.93594923,86.38466025,66.10769231,51.74658899,520.868159,865.6094146,987.004966,79.2,0.036534071
Hollywood,1578,1028,2260,1457,2232,344.2775382,65.6653249,1337.9802,856.192389,178.0452012,0,1071.664926,619.4542583,712.0684044,1277.605022,53.91764055,145.4271857,122.2727073,320.9363594,21.2774102,0,0,116.2599195,6.458884416,11.8412881,0,0,0,0,0,13.4560092,25.29182879,5.836575875,10.79100725,98.4477734,48.52979126,83.13902275,266.2094743,93.26951546,15.33702974,5.38240368,0,0.046801872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.844163312,10.76480736,23.36241172,107.7479345,265.3115296,90.64384343,0.365054602,0,0.08424337,1331.522663,670.2997931,100.9552797,117.0437949,0.058559438,0.855967078,14.78439341,6.731973454,33.04358427,0.025766153,33.04358427,0.042162795,18.89194792,15.41420586,100.4612513,303.785681,273.2395835,187.1410274,346.2619704,321.8046809,1946.957961,152.1847028,47.45875613,8.884400886,34.01602207,54.69340886,56.67809633,55.60160095,34.76784501,25.21734199,73.24457477,76.70750852,291.3524096,150.6564509,45.53673456,101.8551149,122.6676944,503.1239879,1331.522663,74.88112875,0.301635626
Homestead,2019,1218,2250,1383,2237,199.9612502,13.50801259,1429.446893,734.569976,37.23637271,7.586705202,1163.61444,504.9245643,775.2551067,1224.849471,55.33019976,228.6536487,131.3455574,311.4480297,0,0,0,0,0,0,0,0,0,0,0,0,22.25433526,30,0,53.8037631,114.2479334,317.2380285,132.856795,74.23893685,73.36465176,0,10.12675329,14.66763006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.1734104,0,35.96056323,6.715084119,28.73046215,48.41340014,145.0669657,103.6724073,47.92497356,5.723577236,0,1280.179671,534.1152938,87.18848918,149.6047494,2.89947915,0,4.780169101,2.960436562,9.825903151,0,41.69369716,9.825903151,9.090165714,7.292168476,77.72783765,239.6147664,116.5400353,174.5948242,193.9131442,198.7564933,2016.106228,40.90005522,23.83298126,24.94404479,27.58341557,48.22914219,63.36137017,44.10404624,44.80893271,25.88954172,85.55325595,75.71777847,262.4389791,83.98251209,155.5794794,65.67266142,207.5814747,437.3808437,1280.179671,80.65,0.1814
Hosford-Abernethy,7251,3503,7740,3777,7606,732.0894871,97.90009264,4026.187409,2136.273971,201.5899476,13.58609778,3172.533193,1534.160312,1951.738726,3485.211258,0.68777991,311.603747,415.4960338,941.8462867,0,0,36.54143202,0.735764555,0,15.93769799,86.4318618,0.19193858,10.74890585,0,0.127959053,0,15.91170825,0.383877159,35.93392755,124.4907881,109.2750801,396.9526005,189.6043279,450.7123658,147.3930516,21.78804539,1,0,9.75339186,0,0,0,0,0,0,9.237360754,0,8.273531778,8.866719872,0,0,0,5.87832048,0,0,12.70537422,45.68696553,182.5816129,261.3859238,602.6226673,502.8575253,76.28472501,0,44.07712082,3485.899038,1673.152856,145.4210749,171.5763861,58.32188841,12.721511,139.1137584,30.06226672,28.62239373,8,18.4386014,0.386311519,69.88629455,4.122624157,129.4562254,739.4463786,643.8163525,553.205367,719.8059057,476.7053838,6334.864639,149.091314,132.6460444,171.8878799,15,169.972176,101.8999027,93.1651594,142.6796782,67.82971316,188.8585648,301.1298793,335.0784921,240.7834096,320.3018401,548.9929433,506.5820411,1770.21124,3485.899038,80.39872018,0.150209689
Humboldt,5110,2352,5522,2612,5415,656.6897549,98.67396178,2648.035967,1714.649746,150.6230356,22.855529,2344.982708,1209.069622,1342.899908,2528.887033,23.082497,341.5504276,227.8721913,940.5864118,20.29447368,10.43578947,26.43578947,55.21713696,23.97052632,11.40631579,25,37,0,26.20132751,13,20.13894737,94,9.2625,18,32.82806017,83.54686524,176.5144735,241.4154386,200.5534264,159.8557016,37.08621635,0,1.267368421,0,0,0,0,0,13,0,0,5.205655527,5.994140625,0,0,0,0,0,5.994140625,0,10.21478873,54.27410773,127.3980346,313.6108802,507.4395918,114.6230967,2.534736842,0,12,2551.96953,1171.650129,138.0964464,110.6289103,228.1670816,9.641964077,52.49265451,11.86412751,25.83336932,1.479962248,0.126673905,7.671607754,29.49531347,84.61492686,197.8420412,900.3381697,782.5938065,524.8817515,967.7555564,631.9457631,4456.732559,127.8676608,226.7477804,74.45820979,140.0693565,48.0804134,111.368143,82.81892173,50.32768194,86.72163869,145.1586237,115.4511925,386.1580235,202.997641,159.3618615,323.0311158,271.3512659,1172.289173,2551.96953,78.14861757,0.236385504
Irvington,8501,4023,8852,4130,8828,711.9782602,201.3859666,5028.929032,2556.350148,256.1804215,22,3639.067358,1668.069605,2350.05125,4002.112916,16.00793885,445.2974216,317.771497,1466.767206,6.226921083,4.240423798,31.04319478,19.79689318,59.4792176,20,0,0,2.278824416,0.976639035,32.89188118,24.97179919,11.93235534,3.472494348,81.1297989,79.86038739,61.03645885,398.83231,322.8482508,386.7528736,123.563655,51.28556534,16.62292558,0,0,0,0,0,0,0,0,0,0,0.986145069,3,0,0,60,0,1.302185381,4,29.13178001,13,85.3627447,115.5747607,927.8613518,677.835388,293,42,25,4018.120855,2239.490386,210.6929186,289.833379,3.94564997,15.6956143,83.76567435,101.410493,27.39758629,0,20.46186566,0.950528359,16.15788604,11.82493458,79.59628907,1142.125829,669.1463599,754.8988606,645.0038804,683.2273381,7121.652114,191.9839956,130.9583019,111.5377828,118.5153365,75.04358969,97.5846624,126.4257798,106.6702437,78.18035563,167.2765501,463.8930064,347.9794273,448.4431775,199.1936867,346.7711935,1007.663765,2278.054356,4018.120855,80.75439591,0.06724089
Kenton,7272,3156,8088,3649,7890,653.7776831,359.3648991,3137.898533,1945.20623,152.0495502,0,2928.903665,1502.900706,1657.589432,3155.85789,4.632247816,230.7447027,167.000079,1088.970721,1.544082605,25.35268113,0,0,0,0,17,26,0,6.230708035,39.16793893,20.82471708,9,4.531424025,17,16.0367713,96.11479717,152.1962014,100.7555056,193.6478298,95.34291932,18.48091603,19,0,15.0293884,0,1.286735504,2.058776807,12,3.474185862,0,1.544082605,0,2.058776807,0,0,0,3.860206513,0,42.43408072,17.25507026,25.49869609,244.9781529,873.6687022,612.1704113,356.0841515,51.09886947,7,0,0,3160.490138,1729.787032,66.97688846,70.69439227,10.94097074,78.34215387,173.5926369,8.550308008,91.22710964,0.869331902,44,4.346659512,0,36.32711551,186.0594567,742.1552083,618.9724915,284.5716183,585.5908687,819.346717,6028.769335,160.08279,135.230708,129.1286021,69.04991741,52.74846438,55.58318757,97.3478256,59.37590501,79.01478162,290.3462194,374.9923047,416.4817759,391.117066,317.8151465,329.7025833,202.4728605,2271.500287,3160.490138,78.3,0.215399822
Kerns,5340,3243,6963,4687,6829,819.1739877,301.9823083,3565.025085,2674.313657,141.3967635,0,3609.071485,2880.823152,988.2246318,3686.047783,183,958.780738,789.4610301,438.9788987,0,5.346195608,3.927548441,6.98230834,3.49115417,3.927548441,0,10.57608696,0,7,15,0,31,45,87,197.9484176,469.7937392,997.8134072,626.455793,532.3711844,183.8353322,20,4.363942713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,33.49094203,0,0,5.288043478,52.21827288,67.0786106,341.7833184,75.24386075,12.33876812,0,0,3869.047783,981.2159459,227.9453779,89.56186327,3.224475765,0,96.55752703,13.05616503,9.673427295,22.99241603,0,15.1802894,22.35373781,7.245228314,88.50044434,326.8869976,325.9657188,844.6892224,954.8004935,908.8055752,5667.028536,187.7220874,97.72400426,194.8807984,216.0478677,373.5083591,123.3346075,172.6470867,334.5537518,181.7325665,409.860805,588.8112171,375.6791227,167.2502699,108.5875119,121.3001745,215.4075529,615.4418162,3869.047783,78.2,0.2856
King,6069,2654,6738,3167,6699,984.1133444,263.2172863,3219.3899,1908.536347,265.3868264,23.26662824,2707.522613,1562.416032,1451.109872,2979.876099,33.64980525,316.8697771,472.8449488,1195.847198,61.21377518,44.85876024,64.88105124,0,0,11.37102014,68.06107862,0,3.65497076,3.248862898,0,116,29.06107862,31.89386239,24.22390438,78.84711806,48.18932727,231.6265721,231.7540251,232.0010087,271.0312364,22.89394771,3.714902808,0,0,0,0,0,0,0,0,0,3.794344473,3.005859375,1.51498847,0,0,0,0,3.005859375,0,36.90861207,31.86631429,212.201986,449.1043375,528.8594853,100.2655536,0.897770945,0,0,3013.525904,1396.617799,121.815129,111.7244438,73.23627925,22.14098557,40.72343214,38.13219137,200.2210907,0.910194175,10.61832408,29.54670659,5.862729013,24.46877372,280.6051221,888.6415962,785.6789395,607.7476762,1254.100036,890.9652058,5501.350618,387.4667392,140.0111832,100.2190584,129.305396,69.75726308,96.63035376,23.44840635,81.47190631,47.76922106,152.8355767,333.5009282,368.3075507,235.9834264,181.3165907,340.9698733,324.5324308,1371.425111,3013.525904,75.62540042,0.455994953
Laurelhurst,4633,1819,4878,1881,4835,239.4331519,53,2680.806781,1562.121049,102.7547452,20,1737.078828,466.9225664,1404.622964,1864.478447,7.067082683,62.55360454,79.44429701,1138.754515,0,0,0,0,0,0,0,1.423913043,0,0,0,0,0,0,0,12.30384194,18.42164926,130.6482907,55.45351325,38.15166802,18.80674586,10,23,3.533541342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.509057971,0,10,8.711956522,36.31929418,55.36037441,633.0744675,474.6823648,135.2228543,110,51.36037441,1871.54553,1301.932185,81.17379885,85.85805829,23.16513761,0,14.765594,12.04587156,0,10.19266055,0,17.49860968,10.19266055,19.4587156,57.34264638,958.2662775,706.2295802,311.2907076,187.9647036,377.9462099,3590.21584,42.75639569,19.06708268,38.66251215,13.4274571,38.87614602,25.25429017,21.3947947,88.27978673,47.57150569,52.65958138,78.97301403,141.6707449,133.2453127,278.9890796,281.2115594,569.5062671,1519.240744,1871.54553,82.7999808,0.052198138
Lents,20465,7809,22244,8414,21641,3136.001164,2383.500524,4206.86226,2944.147476,912.1152689,0,7531.005591,4889.477325,3647.643535,8417.488187,119.6326733,779.5566783,940.0963988,4139.283625,0,81,49,93.61764706,7,64,56,59,0,62,143,194,40,85,78,395,274.6176471,640.3163366,630.9761988,647.5800233,106.7254902,41,0,0,12,49,0,15,0,0,9,18,0,8,4,11,7,33,35,117,124,562.7183168,978.6570957,1649.323801,486.5720346,296.7701417,301.2575131,1.406930693,0,23,8537.12086,5059.464065,732.501282,2521.794695,421.0279642,112.2099424,812.7833348,68.92436306,614.4701075,348.3750758,1004.336685,697.6965851,181.6962226,29.78021925,3098.553221,3536.55749,3131.442588,1817.823071,3427.731334,3162.642319,16693.08321,588.0049505,364,215,290.7427199,405.2503203,339.3039992,223.7430693,542,416.5466997,806.7476121,698.1379538,1535.263861,742.7897884,495.9244516,528.4956319,345.169802,4741.705834,8537.12086,76.59368105,0.77135958
Linnton,948,477,1096,533,1086,71.23406991,15.44116686,474.277309,233.5594507,20.96088435,0,397.1112954,148.2567298,289.7326513,436.8496431,1.139737991,15.51171503,24.62256283,149.0191427,0,0,0,0,0,0,0,0,0,0,8.384353741,9.222789116,0,4.192176871,3.353741497,7.340670766,6.707482993,19.28401361,0.633187773,3.773619793,4.192176871,0,0,0.909736308,0,0,0,0,0,4.192176871,0,0,0,0,0,0,0,0,0,0.69650655,1.891501443,10.89965986,37.31909663,44.74053115,72.69275614,88.58516317,83.6729406,16.23292252,0.569868996,0.956389452,437.9893811,229.4613594,35.74644716,48.10886414,0.547427371,18.44557823,2.857091303,27.13584727,2.574521833,0,1.098075131,0,0.16100805,0.28256947,4.116174484,116.2167119,105.1946572,63.51803938,65.13896021,125.4580796,770.8020789,25.15306122,3.353741497,15.93027211,31.86054422,3.353741497,9.017541514,12.57653061,18.24033063,8.836968276,17.37794708,2.556051091,59.44514611,37.02717711,50.16634732,52.52354773,90.57043307,362.4495134,437.9893811,81,0.022347788
