,POP10,HH10,POP20,HU20,HHPOP20,food_insecurity,edu_hsd,edu_gebach,edu_bach,no_internet,dial-up,broadband,lt75000,ge75000,le1.5_rm,gt1.5_rm,30-50pct_rb,gt50pct_rb,HHOCH18,cr_Less than $100,cr_$100 to $149,cr_$150 to $199,cr_$200 to $249,cr_$250 to $299,cr_$300 to $349,cr_$350 to $399,cr_$400 to $449,cr_$450 to $499,cr_$500 to $549,cr_$550 to $599,cr_$600 to $649,cr_$650 to $699,cr_$700 to $749,cr_$750 to $799,cr_$800 to $899,cr_$900 to $999,"cr_$1,000 to $1,249","cr_$1,250 to $1,499","cr_$1,500 to $1,999","cr_$2,000 to $2,499","cr_$2,500 to $2,999","cr_$3,000 to $3,499","cr_$3,500 or more","hv_Less than $10,000","hv_$10,000 to $14,999","hv_$15,000 to $19,999","hv_$20,000 to $24,999","hv_$25,000 to $29,999","hv_$30,000 to $34,999","hv_$35,000 to $39,999","hv_$40,000 to $49,999","hv_$50,000 to $59,999","hv_$60,000 to $69,999","hv_$70,000 to $79,999","hv_$80,000 to $89,999","hv_$90,000 to $99,999","hv_$100,000 to $124,999","hv_$125,000 to $149,999","hv_$150,000 to $174,999","hv_$175,000 to $199,999","hv_$200,000 to $249,999","hv_$250,000 to $299,999","hv_$300,000 to $399,999","hv_$400,000 to $499,999","hv_$500,000 to $749,999","hv_$750,000 to $999,999","hv_$1,000,000 to $1,499,999","hv_$1,500,000 to $1,999,999","hv_$2,000,000 or more",tot_hhds,fam_hhd,fb_Europe,fb_Asia,fb_Africa,fb_Oceania,fb_LatinAmerica,fb_NorthernAmerica,lang_Spanish,lang_Russian,lang_Chinese,lang_Vietnamese,lang_other asian or pi language,lang_other indo-euro language,lang_pop_leahh,total 5-17,total 5-17 in public school,mobility,Pov20,w_disability,Pop25+,"hhinc_Less than $10,000","hhinc_$10,000 to $14,999","hhinc_$15,000 to $19,999","hhinc_$20,000 to $24,999","hhinc_$25,000 to $29,999","hhinc_$30,000 to $34,999","hhinc_$35,000 to $39,999","hhinc_$40,000 to $44,999","hhinc_$45,000 to $49,999","hhinc_$50,000 to $59,999","hhinc_$60,000 to $74,999","hhinc_$75,000 to $99,999","hhinc_$100,000 to $124,999","hhinc_$125,000 to $149,999","hhinc_$150,000 to $199,999","hhinc_$200,000 or more",owner occ hu,tot occ hu acs,LifeExp,SVI
Lloyd,1142,772,2776,2072,2265,301.6966107,40.21432391,1328.998919,912.6149717,158.0552704,0.504297994,1319.006854,1087.242256,540.232031,1552.382651,75.09163656,349.911518,462.4491934,99.02726295,0,0,0,11.69109038,0,2.449455677,0,0,18.492732,12.35780494,4.478472994,13.56989622,0,39.71439337,1.870201097,27.83496609,23.81633118,208.5458765,395.1667109,462.7235919,154.6632887,35.97870112,20.86715553,0.283667622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.42978863,0,3.730525047,11.89111748,16.02410088,17.3316493,67.34027502,1.996579415,0,0,0,1627.474287,279.9349763,31.36502997,56.00139277,0,11.44582303,72.50645435,0.857963446,28.8365243,0,10.27345313,13.10751105,7.864506627,0,60.0819951,90.06984007,73.73306314,561.5217533,407.7264554,464.3866768,2152.779658,129.6756039,79.61847641,124.4149422,167.2921935,11.87645727,20.09995269,21.62843348,175.3944609,29.96109254,92.90657051,234.374073,151.882316,207.2562269,69.87360373,67.28375942,43.93612494,175.7440358,1627.474287,77.00376525,0.510216549
Madison South,7130,3119,7217,3183,7001,970.7474178,323.0976699,1838.192529,1121.489371,184.3352436,0.024832856,2371.198173,1448.060595,1154.572154,2587.632748,15,505.3296035,198.1153848,975.5269196,0,0,37,0,0.012416428,0,0,9,0,6.193654267,28.20070012,0,24.07264184,38,45.16487662,17.02483286,84.41947042,184.3880554,498.870189,151.726304,20,0,0,0,16.02483286,0,0,0,16.51641138,0,0,0,11,23.74795799,0,0,0,40,0.024832856,11,0,59.16141356,315.2599069,506.9936979,363.8742611,86.52171795,8,0,0,0,2602.632748,1374.752817,50.45733777,320.5779497,37,0.367627766,102.930736,21.34447572,115.0820201,0,25.53067996,154.5268927,80.22007595,0,412.3596687,913.8064178,807.43121,253.2505445,530.9098356,705.6333103,4963.621148,103.4116891,120.3276428,73.89281743,146.0368376,48.19486581,38.3184311,176.4118697,254.0918964,55.26945465,248.4121405,183.6929499,342.8960798,221.7497518,219.7752365,305.4268874,64.72419793,1458.125033,2602.632748,82.57464489,0.759447254
Maplewood,2557,1129,2826,1183,2758,165.4230977,7.463928968,1600.980022,918.8801332,121,0,1139.265261,372.8967814,905.3684795,1278.265261,0,75.73695893,96.01220866,445.0077691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.698113208,16.73917869,6,11.03662597,53.65260821,58.56048835,58,45,20,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,13,42,97.09433962,200.7658158,451.8579356,131.4084351,8,7,0,1278.265261,808.7935627,23.18088588,49.52105608,0,18.16146629,7.016146629,0,0.016146629,0,0,1.11411739,0.371372463,0.581278638,2.357407811,274.5125464,219.7643465,184.9129391,27.54605993,242.5588043,2247.243063,0,13.14983352,22,39.86237514,21.45172031,21.34073252,64.09433962,16,46,35.88901221,93.10876804,167.0754717,85,140.1886792,134.5604883,378.5438402,969.1265261,1278.265261,79.01263259,0.044572517
Markham,2248,974,2369,971,2345,106.2786921,9.811320755,1016.011223,594.3923227,1.706896552,0,924.5133377,306.2440631,656.8629636,963.1070267,0,9.731050748,29.43396226,554.7046194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.52830189,17.66037736,20.60377358,32.29708848,0,4.905660377,0,0.663793103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.905660377,34.69811321,229.9748699,229.5392811,297.6937215,4.504310345,0,0,15.69811321,963.1070267,663.3753253,35.52145825,72.15837946,2.055851898,0,22.53463563,2.456950457,0,0,3.071188071,0,0,3.071188071,6.142376142,388.0836248,266.1884892,97.25488035,67.47560182,169.8820953,1867.899805,5.886792453,20.60377358,40,20.60377358,0,27.08230319,0.663793103,15,38.67924528,77.68998048,60.03440143,110.3939493,200.8279115,149.299203,55.38768705,140.9542128,817.6778627,963.1070267,82.45385996,0.010884022
Marshall Park,1182,495,1199,485,1199,50.28150172,0,754.421285,323.5672772,17.16594828,2.096439169,451.7802747,93.69243547,387.1336095,480.826045,0,18.37731345,7.454005935,436.2058733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.56231454,2.329376855,2.329376855,17.47032641,9.059806034,0,0,0,6.675646552,0,0,0,0,0,0,0,0,0,0,0,3.028189911,0,0,0,0,2.329376855,14.90801187,23.20326569,109.614149,238.5231089,48.79309545,0,0,0,480.826045,385.8674617,27.15121453,57.80992618,0.503205128,0.726851852,14.98965386,2.261858512,0,0,2.128427128,0,2.46011396,2.967102342,7.555643431,221.7467717,140.5462038,94.67354867,44.43346465,77.23865949,895.4929781,2.329376855,4.891691395,0,0,5.12462908,13.3512931,14.59552786,2.56231454,4.891691395,25.87229484,20.0736164,38.94682416,45.70201704,73.59405537,62.84890291,166.04181,447.0748443,480.826045,84.32075472,0.047483962
MC Unclaimed #11,2,1,80,39,80,0.144115292,1.178878428,28.55505526,15.91485878,1.178878428,0,19.25501433,6.090871879,15.09619321,21.18706508,0,0.491199345,1.080638559,6.64756447,0,0,0,0,0,0,0,0,0,0.32746623,0,0,0,0.098239869,0,0,0.098239869,0.360212853,0,1.015145313,0.163733115,0,0.130986492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.098239869,0,0,0,0,0,1.211625051,2.783462955,4.650020467,4.846500205,2.488743348,0.884158821,2.030290626,21.18706508,15.45640606,2.037037037,2.834757835,0.128205128,0.185185185,0.384615385,0.142450142,0,0,0,0,0.626780627,0.213675214,0.84045584,12.53561254,10.28490028,12.87749288,4.289807614,4.928774929,41.45722472,0.753172329,0.458452722,0.098239869,0.098239869,0.687679083,0.261972984,0.98239869,0.130986492,0,2.226770364,0.392959476,1.244371674,1.539091281,0.949652067,2.259516987,9.103561195,18.99304134,21.18706508,80.5,0.1226
MC Unclaimed #13,81,35,107,27,107,5.836669335,0,46.37643836,19.28931507,0,0,30.25315068,5.042191781,25.38684932,30.4290411,0,0,0,32.77424658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175890411,0,0,0,0,0,0,0.293150685,0,0.644931507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75890411,0,0.175890411,1.876164384,4.397260274,0.879452055,5.980273973,9.029041096,5.042191781,30.4290411,24.85917808,2.724537037,3.791488604,0.171474359,0.247685185,0.514423077,0.190527066,0,0,0,0,0.838319088,0.285790598,1.124109687,16.76638177,13.75605413,17.22364672,2.052054795,6.592236467,55.52273973,1.524383562,0.938082192,0,0,0.527671233,0.293150685,0.175890411,0.410410959,0.293150685,0.644931507,0.234520548,1.524383562,2.52109589,1.700273973,3.341917808,16.29917808,29.78410959,30.4290411,80.69230769,0.118819231
MC Unclaimed #14,7,1,40,5,20,0.523854069,0.544217687,17.92517007,8.673469388,0.850340136,0,14.96598639,5.680272109,10.91836735,16.59863946,0,0.612244898,0.952380952,5.442176871,0,0,0,0,0,0,0,0,0,0,0.340136054,0.37414966,0,0.170068027,0.136054422,0.272108844,0.272108844,0.782312925,0,0.136054422,0.170068027,0,0,0,0,0,0,0,0,0.170068027,0,0,0,0,0,0,0,0,0,0,0.034013605,0.442176871,1.462585034,1.632653061,2.823129252,3.333333333,3.163265306,0.578231293,0,0,16.59863946,8.401360544,1.360544218,1.802721088,0,0.74829932,0,1.088435374,0,0,0,0,0,0,0,4.183673469,3.80952381,2.074829932,2.380952381,4.421768707,28.67346939,1.020408163,0.136054422,0.646258503,1.292517007,0.136054422,0.340136054,0.510204082,0.714285714,0.272108844,0.612244898,0,2.176870748,1.428571429,1.870748299,2.006802721,3.43537415,13.63945578,16.59863946,NA,0.0218
MC Unclaimed #5,227,85,241,86,241,9.921951327,0.92879257,121.5688594,65.34904512,2.600619195,0,75.15257244,20.87153442,57.71757053,78.58910495,0,0,0.741573034,65.81782447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.278637771,0,0,0.741573034,1.235955056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.114551084,0,0.835913313,7.175113925,43.69280273,18.96347445,4.551083591,0,0,78.58910495,67.45016871,13.88266721,9.761464441,0,0.331961591,0.474741327,0.539437586,1.643335362,0,0,0,2.28223594,4.356995885,8.282567187,42.03140271,33.66724838,6.451871514,3.08988764,16.54887092,151.3004835,1.606741573,0.92879257,1.021671827,1.764705882,0,0,0.89734581,0.741573034,1.112359551,7.234354889,5.563989286,5.229763106,8.595366473,8.258218249,13.63937106,21.99485164,76.33293909,78.58910495,84.74,0.0095
Mill Park,8650,3176,9123,3226,8860,1674.946767,1471.665009,894.5342152,583.4945976,316.5560828,5.15470852,2650.038278,2192.859524,932.2275629,3087.341532,37.74555498,264.0328987,361.1685888,1916.29305,0,0,9.372197309,3,2.418639053,0,0,7.719617386,0,87.51167926,10.80621302,34.29677703,40,70.71895072,166.2619901,105.4151305,134.3922672,429.0238108,93.45040806,66.82439192,0,1.531804734,5.804733728,2.418639053,9,0,0,0,0,62,11.24663677,0,0,0,0,0,0,17.47705314,0,151.0309595,23.79737045,396.8855879,448.7676651,540.5563127,106.41743,5,0,34.6557971,0,28,3125.087087,2065.274741,718.7687126,1403.033424,139.4986143,0,702.2669499,25.16119829,594.946226,693.1796773,273.5804925,492.5429351,79.67796403,34.71611983,2286.265195,1516.953088,1416.682702,731.7083142,2268.667276,1092.152032,6059.939365,149.2710424,99.46350421,114.432035,247.884957,238.0931724,234.3448663,139.8286546,59.90470568,39.20222543,272.037812,598.3965487,336.4165093,297.2682483,68.34118133,167.1513,63.05032388,1834.834813,3125.087087,NA,0.946264
Montavilla,16042,6814,16809,7219,16376,2249.71155,801.1860973,6017.829749,4036.553474,598.601192,45.83528992,6399.940371,4105.379926,3028.884378,7075.264304,59,584.5662012,813.5417507,2521.366521,7.692175408,0,0,1.29659471,4.658682635,0,0,6.043852107,46,40.49492086,4.658682635,59.07076629,5.656971771,132.1562646,145.2092087,255.20833,283.6557269,303.1044133,542.2707235,537.0581777,71.62123816,1.648334624,0.706429125,0.412083656,25.85840708,44.32420873,0,0,12,0,0,25,0,0,0,26,0,8,6,164.0384438,245.9810528,155.746917,333.1105769,1973.535939,911.9608983,540.7342839,0,6,0,0,7134.264304,3813.552227,190.7545379,1590.802352,43.63587296,25.34776207,422.356049,166.3209948,303.1568422,6.553081603,338.2555374,732.8752141,127.3227505,18.35712188,1535.223157,1879.294204,1554.735153,1036.264588,2114.296293,2345.026109,12777.75308,473.6152041,301.5331392,219.007923,265.6800307,257.7576082,367.2285149,293.4191773,374.1848052,269.8653343,565.7302897,717.3578997,1135.126363,656.362699,217.1474709,675.4626547,344.78519,4478.290728,7134.264304,79.29516674,0.608614381
Mt Scott-Arleta,7397,3222,8037,3544,7979,964.3337166,553.6350593,2768.21418,1815.098941,182.8705085,2.593220339,3130.017447,1690.922871,1665.656876,3320.579747,36,274.6556924,277.7266897,1271.850285,0,11,30,6.04,0,0,0,0,0,25,11,0,0,36,25.15714286,72.71949153,146.8843584,256.6782711,131.3518906,203.0985776,104.5211823,11.79486953,0,0,10.99825936,0,0,0,0,21,0,7,0,0,0,0,2.881355932,0,0,7,35.50539724,104.2111592,253.2264165,1011.836924,567.3273483,243.6360496,9.427328111,9,0,0,3356.579747,1774.577286,203.361024,495.8462452,54,11.28743433,275.5403291,12.64024685,203.7468283,44.46319918,88.50470261,166.1405777,67.62562691,15.53481823,590.0157529,1076.08855,906.1130926,567.520477,815.8960701,1163.993711,6249.435159,122.8983051,139.5261378,99.40652353,103.6671429,122.8874212,99.97616462,56.79873055,217.0833606,107.791854,202.2239363,418.6632947,697.5728035,423.7862205,265.0745406,227.3872973,51.83601407,2283.050238,3356.579747,77.32103882,0.548135228
Mt Tabor,10162,4689,10727,5048,10449,1067.857082,420.629574,5106.952988,2766.779177,263.0468289,9,4331.622766,2067.402917,2653.617358,4721.020275,0,333.229819,454.2867672,1925.935712,25.30782459,0,0,0,0,0,0,4.956147893,0,2.637749121,2.717391304,73.15217391,0,40.34782609,60.99765591,120.2314212,191.8618694,407.2634886,205.3959086,267.1797168,44.75420971,76.7173913,84,49.97826087,8.14159292,0,0,0,0,0,0,0,0,0,0,0,19,0,5,3.185840708,75.49519231,53.73671361,83.68819009,227.0864688,495.7316677,1557.820689,294.2808857,124.2039991,50,0,4721.020275,2604.134506,169.1350129,350.2254512,22,6.880837815,91.61355044,84.28610386,32.79164949,28.89951882,69.67930262,32.11421238,24.56111646,0,188.0457998,1417.795171,1238.702147,656.0401642,880.6315129,1054.780974,8371.18515,240.0445652,148.9501659,102.1370793,134.4909585,89.54546574,216.7239944,247.2116335,159.600666,162.3127536,237.9909384,328.3946966,631.4190123,558.8061892,340.8756964,570.2768851,552.2395751,2997.37124,4721.020275,79.95143817,0.31495127
Multnomah,7312,3776,8268,4036,8226,915.8751428,173.6694696,4523.800854,2524.332378,292.5672325,16,3874.26495,1715.861345,2540.490398,4200.240721,56.11102183,419.5487766,259.1464658,1388.83681,6.51147541,6.94557377,0,0,0,6.077377049,0,29.9842623,0,23.68196721,2.764915405,0,0,11,163.4917647,124.1048513,185.67551,538.7563632,232.7093345,402.9544234,36.76141176,16.61882353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.20657174,0,0,28,417.4284976,145.8782158,224.7525415,667.9647625,654.2363801,249.1794299,9.312989045,5.237647059,15,4256.351743,1923.101935,134.2709342,308.848978,94.99457918,6.115654837,147.2393558,136.6210325,57.75896235,12.23130967,15.46735913,0,46.96604071,0.947939955,212.6549568,1021.330313,754.589396,1294.633278,646.5777005,721.7450864,6720.668355,243.7309298,68.4701783,59.19344262,139.0714808,195.0216108,52.77230894,106.2390799,66,112.1803601,132.9333126,540.248641,926.1137833,450.597109,330.5620733,319.2636609,513.9537717,2439.197035,4256.351743,81.75324527,0.277168081
North Tabor,5408,2745,5663,2902,5568,819.6542732,230.2036572,2702.208108,1697.000746,304.3421422,0,2548.118056,1646.689032,1243.659577,2874.509295,15.83931357,403.4584721,373.5042268,841.7689269,0,0,162,0,27,33,0,0,18,13.86733002,0,0,48,177.747927,38.10707897,135.5984445,125.5498459,474.8288041,231.646844,235.1383489,25.57799875,0,0,1.419656786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.52776183,9.516369428,41.37514603,251.6162695,201.3626655,461.9128818,51.42677221,12.99975862,0,2.555382215,2890.348609,1205.373375,137.5049384,202.5123752,141.5505944,1.276535522,26.46248422,33.68542708,1.276535522,41.14302249,0.627568173,6.768816665,1.696553054,1.492094476,130.0045904,666.9811879,526.6578792,430.2646757,803.0481503,548.9293395,4855.173073,294.9391731,79.680285,71.58304355,83.65067403,71.83432802,226.8871206,105.66316,136.6054604,61.51256549,220.9542718,293.3789504,290.21172,178.0170109,327.8836753,303.8017057,143.7454648,1083.293007,2890.348609,79.51430725,0.280156448
Northwest,13638,9613,18314,12827,17781,1922.655496,222.5232783,10032.55264,5977.346813,542.7802286,5.94628752,9363.888739,5745.298532,4600.316723,9874.615255,471,1513.248025,1825.6603,1240.564631,82,19,84,221,26,71,30,22,20,81,16,56.9104792,27,133.8209584,126,196,958.2990373,1745.988415,1320.248025,1777.019275,486.0420735,157.4690999,51,162.9104792,3.17635468,0,16,0,0,0,0,0,0,0,0,0,0,0,0,50,12,0,83.77931034,285.7354413,290.6136364,506.6408107,548.3641875,343.1863952,108.1024631,56.2309315,10345.61526,2602.103736,640.4299986,765.0203439,77.50870677,30.98947042,379.4892515,113.357173,15.19115154,20,24.35473654,0,48,35.45481629,143.0007044,790.2800731,526.9943324,2950.349395,2137.010735,1530.342888,13658.8237,1123.741241,561.8630454,262.9015271,419.7166458,386.0152172,300.9462875,330.146825,357.7314376,474.7260368,845.380045,682.1302241,1229.953019,948.555043,638.7362651,532.0013167,1251.07108,2303.829531,10345.61526,79.95624252,0.053951408
Northwest Heights,5719,2275,5931,2329,5931,227.6867789,2.848946661,3230.807636,1505.184184,0,0,2271.90613,498.4976072,1773.408523,2271.90613,0,72.25557809,20.97801504,1574.170367,0,0,0,0,0,0,0,0,0,0,0,0,10.754804,0,0,0,0,25.59877018,109.0637971,133.5103709,45.95234435,35.71537427,0,0.553752535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.139486654,0,45.95234435,328.7809377,121.6273135,529.1669953,568.1376625,173.7912491,85.15295926,53.00796812,2271.90613,1615.06161,261.2761659,1078.384227,23.09159377,0,45.52423528,0.18620931,0,4.298616169,78.72380557,0,13.95093009,133.5817787,247.3765397,1256.837779,926.5379908,484.0120792,127.0044619,222.82151,4013.030331,74.28670254,0,13,120.5734051,4.680412371,15.87270282,0,75.61798616,22.92121991,46.95894754,124.5862308,152.8943411,129.0693472,281.9208301,273.9802563,935.5437479,1910.756917,2271.90613,NA,0.044137349
Old Town/Chinatown,3922,2137,4159,2655,2903,823.3364644,456.6490166,773.3494705,349.5249622,441.0378215,34,1521.385779,1850.801815,387,2206.801815,31,476.3434191,722.8048411,57,5.062027231,3.97730711,155.1013616,97.14674735,51.78517398,28.92586989,0,59,0,0,18.07866868,325.2118003,13.37821483,11,115,571.6157337,143.0332829,174,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,33,0,58,0,0,0,0,2237.801815,177,36.01455767,219.1215006,28.20660694,0,47,0.936730123,0,0,0,0,0,0,81,17.93673012,17.93673012,447.5660694,1031.282905,1057.848264,2969.69289,417.290469,375.9878971,195,133.4629349,403.1406959,51.51891074,124.2541604,13,56,6.146747352,75,119,90,31,121,26,316,2237.801815,NA,0.679129333
Overlook,6093,2756,7260,3720,7125,690.9463523,195.7352699,3522.536263,2362.608189,114.0101472,14,2682.257015,1156.08503,1697.337381,2817.122713,36.2996974,253.2560641,165.9984768,903.5282058,11.15625,0,0,4.551942267,0,6,0,0,27,13.83420572,24,38.39631336,20,2.390625,24.42396313,39.89766826,66.03912301,187.8071925,232.2598161,324.1797362,112.1903625,115.4804917,6,0,0,0,0,0,0,5.392111369,0,0,17,0,0,0,0,0,0,0,0,22.60475908,36.38715755,157.9289433,498.5484601,705.4250067,96.76714207,36,0,0,2853.42241,1419.061678,55.51100979,174.8834935,177.1874108,9.58147631,53.83824471,8.797491448,70.84315219,15.58939076,5.170828809,24.29783352,47.42995777,17.1983169,211.6870172,617.2148621,460.0482077,567.5514054,624.6995638,753.698318,5694.78708,124.1868217,16.01781896,95.27441882,81.02898683,47.05374387,80.72532741,54.93262794,76.85474585,129.8090408,171.1521718,279.0493256,331.1200757,380.2918651,367.9504611,231.1270732,386.8479057,1576.05358,2853.42241,78.29335174,0.316858305
Parkrose,6363,2314,6250,2383,5722,759.1531546,733.8655495,987.1049383,686.5623379,225.2812605,18,1889.38079,1545.222174,726.5318211,2240.780843,30.97315233,309.7834524,260.8206319,882.7749883,0,0,11.01554213,2.921052632,0,1.473289597,8.491096532,0,0.23181202,20.86842105,66.61426165,23,59.90373533,36.62726235,55.37044749,225.0820315,114.8386415,288.6334637,61.75499083,77.2896939,0,0,0,0,0.687074461,0,1.718837863,1.841611996,0.109805694,0,0,0,0.613870665,1.64795059,0,0.491096532,0.109805694,12.75291779,4.032545978,5.939710324,39.78868446,143.752523,137.8776351,559.3072475,187.5734314,53.76315789,8.569343066,0,0,0,2271.753995,1168.879802,47.77533976,436.5346822,31.30633491,37.44347021,264.9443479,0.145399204,175.9353844,35.19618444,10.07405926,72.02847421,127.3751857,29.05057364,476.4354732,776.3612332,649.892284,697.6487368,928.0503704,638.9312317,4280.276735,147.8319555,248.7886003,47.52164891,176.1968204,87.56918856,75.12727955,73.27748329,161.7309963,131.5253407,112.0557673,283.5970935,210.2716932,244.483628,112.5083115,115.7414462,43.52674221,1160.57725,2271.753995,74.21487405,0.763377477
Parkrose Heights,6119,2503,6223,2540,6142,607.7627119,404.6901042,1109.042969,768.4075521,210.4791667,0,1779.436198,1260.622396,805.4296875,1880.669271,185.3828125,211.6380208,129.6132813,844.8216146,0,0,0,24,6.947916667,0.868489583,0,0,13.89583333,0,0,33,0,0,54,100.6354167,144.6901042,71.92317708,79.92578125,82.66276042,26.18619792,0,1.736979167,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,21.02734375,31.36979167,140.5039063,151.0546875,854.5442708,116,8,23,0,0,14,2066.052083,1267.735677,88.19971056,511.0790159,0,130.2240232,110,6.590738061,62,120.4396527,0,185.2301013,265.4457308,1,634.1154848,784.7487699,660.1982634,335.8170767,375.9335938,846.4465991,3798.1875,109.0026042,57.81640625,82.55338542,79.97526042,74.18619792,58.00260417,45.6328125,96.00520833,129.1614583,285.9882813,242.2981771,277.3476563,229.5286458,151.6848958,92,54.86848958,1368.5,2066.052083,78.47669794,0.682772345
Pearl,5997,5315,11019,8368,10883,862.2823618,41,6732,3634,379,0,5648,2559,3763,6047,275,911,756,486,0,0,0,12,0,0,15,83,0,0,0,189,229,91,140,93,69,544,259,1329,550,247,69,266,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,74,496,277,554,278,198,40,114,6322,1996,657,673,43,40,104,97,56,5,103,0,17,18,199,246,160,2025,1008,781,8559,519,110,127,372,115,334,213,70,106,98,495,587,707,559,774,1136,2047,6322,NA,0.371020423
Piedmont,7047,2997,7033,3094,6853,796.41176,522.4742464,2991.269481,1993.010969,431.0875436,0,2693.242091,1733.249613,1504.039996,3224.586496,12.7031141,423.2927507,464.4917896,864.2911367,12.20818716,7.333502491,2.564210526,7.561052632,4.029473684,49.59368421,28,46,49.95934959,52.10679196,0,205.597307,12,45.38107597,48,16.98947368,82.72875116,244.6676023,199.9697738,204.5295711,157.4388141,28.34407895,16,26.73263158,0.235107228,0,0.293884035,0.470214456,0,0.793486894,0,0.352660842,0,0.470214456,0,0,0,0.881652105,10,0,2.601431981,50.9489852,48.47280984,540.4219577,601.6002026,352.2414501,44.09560775,1.465263158,0,0,3237.28961,1465.836193,165.5743311,127.5526856,73.09474702,9.804794974,446.9237837,19.5953484,371.0458493,0.896384637,7,77.92582525,5.31894983,6.683832031,553.0795183,726.3045084,656.4206609,362.9084289,976.349573,920.5059841,5713.551396,139.4445688,333.6196129,210.8445624,14.62277205,124.2797955,131.0605662,53.0506468,98.31367142,78.87289857,277.2037709,271.9367478,423.019392,408.4040055,246.8723622,232.9200122,192.8242246,1655.344928,3237.28961,76.09934684,0.492529233
Pleasant Valley,12743,4367,14061,4715,13819,1553.429939,1248.802031,2628.591376,1489.067691,229.2856041,0.070766639,3950.283498,2288.27302,1967.850444,4137.123463,119,99.43064877,629.5180178,2933.90415,0,0,0,9,0,0,0,17,12.40632976,0,6.378448556,0,0,4.127231418,24,53.69014085,7.295774648,536.9306667,186.6946455,140.6541332,121,0,0,0,15.44366197,0,0,0,11.1476207,0,44.11124257,17,0.690140845,79,0,0,22.91455366,46,0.64084507,66.37731215,52.87077195,164.8836069,309.9995372,944.8240151,814.3063062,366.5308705,62.38676217,59.00162285,0,17.00162285,4256.123463,3297.67904,1030.549276,1591.487948,630.602859,70.83285132,667.6069683,16.42984548,211.1462389,635.4677357,200.9764282,1005.368213,145.5005878,141.1368626,2711.538741,2822.218284,2345.201342,1396.826538,2575.068291,1914.497635,9046.264926,291.9915505,123.7739752,68.50269484,111.5259161,246.5960273,187.6409299,122.8864637,72.84631197,136.9526195,499.1267117,426.4298191,354.9303565,648.6342587,147.7740027,405.5709372,410.9408885,3095.130493,4256.123463,79.44287397,0.370780506
Downtown,12801,8353,14165,10324,12567,1828.251183,892.3509834,5136.65053,2875.475038,875.9621785,31,6748.614221,5683.198185,2587,7902.198185,368,1474.656581,2229.195159,182,66.93797277,40.02269289,474.8986384,118.8532526,84.21482602,159.0741301,237,0,61,180,92.92133132,371.7881997,76.62178517,97,125,257.3842663,362.9667171,830,938,1676,542,66,28,77,16,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,95,134,208,301,249,76,48,43,0,8270.198185,1307,496.0907567,1469.825504,203.745006,40.52706422,295.7857418,92.42591944,145.900167,122.8064516,306.9101382,39.20046083,153.0316725,15,782.8488902,212.033316,159.033316,3694.360306,3729.717095,2608.883823,10202.30711,1908.709531,582.0121029,364,436.5370651,428.8593041,346.4810893,203.7458396,180,177,505.8532526,550,704,392,556,279,656,1204,8270.198185,81.8,0.612723077
Portsmouth,9789,3627,10149,3839,10044,1599.325968,1361.64652,2445.862102,1686.552001,149.9809263,0,3605.994208,2240.428446,1528.546688,3768.975134,0,428.1697532,631.7829596,2295.440249,8,93.87802691,25,169,13,0,0,97,0,56,40.83206107,27.5486393,49,67,126,20.9632287,179.5788656,272.5659193,248.3478451,143.1520556,25.30044843,20.51908397,0,0,0,0,0,0,0,0,0,0,0,25,0,8,0,20,27,43.56591928,36.14349776,162.529148,140.0846952,873.7655017,573.4194502,119.4122685,38.13183857,0,0,0,3768.975134,2268.223592,166.3256087,69,927.449692,112.1578175,499.9665591,19.44969199,542.1041361,55,0,3,0,77.4262247,819.9800528,2240.305661,2064.208272,191.7585802,3638.329408,1559.315928,7050.977544,308.9381166,128,354.8152535,133.4885496,97.78295964,229.0950673,292.1192004,75.23664122,156.2887892,204.1905864,260.4732824,486.0242084,433.0463835,362.1705337,138.5477151,108.7578475,2067.052319,3768.975134,NA,0.4964
